AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	65	26	living	yes	FROG	FROG_0.avi	1	0	0	1h	26	0to45	harder	45	1	0	j	1376	-54	-0.04	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	74	26	living	yes	FROG	FROG_45L.avi	2	45L	45	1h	26	0to45	harder	45	1	0	j	1430	-54	-0.04	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	117	27	edible	yes	FRUIT	FRUIT_45L.avi	2	45L	45	1h	147	45to90	harder	45	1	0	j	1851	193	0.12	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	85	27	edible	yes	FRUIT	FRUIT_90L.avi	4	90L	90	1h	147	45to90	harder	45	1	0	j	1658	193	0.12	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	53	119	living	no	GARDEN	GARDEN_90R.avi	5	90R	90	1h	119	90to0	easier	90	0	1	j	1513	-944	-0.38	1	1	0	0	0	0	0	0	0	1	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	48	119	living	no	GARDEN	GARDEN_0.avi	1	0	0	1h	119	90to0	easier	90	1	0	f	2457	-944	-0.38	1	1	0	0	0	0	0	0	0	0	1
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	12	53	edible	yes	GARLIC	GARLIC_90L.avi	4	90L	90	2hd	173	90to0	easier	90	1	0	j	2423	-5	0.00	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	119	53	edible	yes	GARLIC	GARLIC_0.avi	1	0	0	2hd	173	90to0	easier	90	1	0	j	2428	-5	0.00	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	78	27	living	yes	GIRAFFE	GIRAFFE_45L.avi	2	45L	45	1h	27	45to90	harder	45	1	0	j	2001	-131	-0.06	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	97	27	living	yes	GIRAFFE	GIRAFFE_90L.avi	4	90L	90	1h	27	45to90	harder	45	1	0	j	2132	-131	-0.06	0	0	0	0	0	0	0	0	0	0	0
